laAccount,laRegisteredAtSlotNo,laUnregisteredAtSlotNo,laStakePoolDelegation,laDRepDelegation,laLastDelegationSlotNo,laLastWithdrawalSlotNo,laLastAddressOwnerActivitySlotNo,laLastAddressActivitySlotNo,laCurrentStake,laCurrentRewards
scriptHash-048fdc2d91108f6806c241d778775fe28885c2c6b066a8caa106b022,150007791,,,,,150009450,,,0.000000,0.000000
scriptHash-1d699e3923cdca4011a2e04395e464bc155ccf0084e7be3d8be1ce42,150007521,,,,,150009106,,,0.000000,0.000000
scriptHash-21279cf257840428ba9540b56c6bae684a369173fb24aed09a075561,148561945,,,,,150076698,,,0.000000,0.000000
scriptHash-399119626b159d5da3cf3bd09f1a6b2a84a65faeebc6fa7f499d2cff,148562206,,,,,150076592,,,0.000000,0.000000
scriptHash-39ea65c90e2d51f676f8442b8f125e80b618f1139586fbf5d091d472,148562206,,,,,150076592,,,0.000000,0.000000
scriptHash-42b527bc018dbc2c55a529a8b6d134fce5e0550489fba422a5b410b2,149487452,,015f52ee0b1b29813884f85313666f3876c8260858f9572622660bc3,drep-alwaysAbstain,149487452,,149551139,149551139,0.000000,0.000000
scriptHash-4f58e94110f37876eba49e251085b7835a1563e2d6f447529e4c37c9,148562085,,,,,150074178,,,0.000000,0.000000
scriptHash-5cc7e9aeae61dbe1f394a5eaae4b03ac67c91bce78a1fa542e143df3,149185235,,,,,,,,0.000000,0.000000
scriptHash-6215da80ab7ca3f519f6df96377015f09110aa486dda310b381ffc63,149185235,,,,,,,,0.000000,0.000000
scriptHash-6bbbe4c6e7e42056f2a2c6ec75b0d92330332dba21120ea3c1c2c293,148562085,,,,,150074178,,,0.000000,0.000000
scriptHash-7641b7ad66d862c4d2db08685d5d7b094e07c00ba4a7f4c7165eafd0,149826604,,a43ceac028a673e9f8611de0f683c70fdcadde560f28c2fb8cfabc81,drep-alwaysAbstain,149826604,,149827272,149827272,0.000000,0.000000
scriptHash-902042871cd5ad69074da4f1d1f1fb93823340ff1a363a5275eb1d8b,149664820,,,,,150090716,,,0.000000,0.000000
scriptHash-9256fa3bfc47881a35d1b2082dc3618f414ffb195d4a435cf791fe2f,148561598,,,,,149741900,,,0.000000,0.000000
scriptHash-97a5a78e86542606e85ffc4922bd8337bef1524b971a9afca1b48bc0,149584669,,015f52ee0b1b29813884f85313666f3876c8260858f9572622660bc3,drep-alwaysAbstain,149584669,,149584669,149584669,0.000000,0.000000
scriptHash-97c5542921a844ecb2704f428bc06d51e0b768f289c26fbe1132d3da,148562085,,,,,150074178,,,0.000000,0.000000
scriptHash-98be90f93cd9a2bcada890943453a67b6fc615d410ccd1a705f51683,148562320,,ac66c8efb8edba3991576235e421ef0524ab351a22598de520de7b16,,148566025,,150077101,150078071,0.000000,0.000000
scriptHash-a14a5f501500b1b651e78b95e9e4c4a0a2f51ef72ba72ac1af5c397d,149185235,,,,,,,,0.000000,0.000000
scriptHash-a7f1bbd82c7379b1bb0e5ed6e1e4c38ac4b744126aaec705bccc5de1,149584468,,a43ceac028a673e9f8611de0f683c70fdcadde560f28c2fb8cfabc81,drep-alwaysAbstain,149584468,,149584468,149584468,0.000000,0.000000
scriptHash-b5e1d680016def027437d1fac7fb585259b1457d573aaa2a9cda884d,149584602,,a43ceac028a673e9f8611de0f683c70fdcadde560f28c2fb8cfabc81,drep-alwaysAbstain,149584602,,149584602,149584602,0.000000,0.000000
scriptHash-d3c9f7e339f206bf2d14dcf96e11b3d3c0aea89e33afadc0fa048249,149185235,,,,,,,,0.000000,0.000000
scriptHash-d68273c7d21358670476e2540141c8102bcd005b960647caca8f763a,149625677,,,,,149626794,,149626794,0.000000,0.000000
scriptHash-d6bcab51f9e0635f9bd9dd501492edd8386aadced7a75ba9ee8ae702,149185235,,,,,,,,0.000000,0.000000
scriptHash-daf82c0015ea49d23c5d2ddf958c9a07084dddc8469c19725f5e284b,149584888,,015f52ee0b1b29813884f85313666f3876c8260858f9572622660bc3,drep-alwaysAbstain,149584888,,149584888,149584888,0.000000,0.000000
scriptHash-db04c692494bc414007ef296b2fb987cadfc824f74c4704b46bc8cd8,149825298,,a43ceac028a673e9f8611de0f683c70fdcadde560f28c2fb8cfabc81,drep-alwaysAbstain,149825298,,149826999,149825298,0.000000,0.000000
scriptHash-e06e3d21a549bb46a8560fe929ffe7d1ea964b92b86d7ed16ea4f3a7,149185235,,,,,,,,0.000000,0.000000
scriptHash-e760308d0c14096ff479ec5f2495455505feb790503903fe976c4fd2,148561401,,,,,,,,0.000000,0.000000
scriptHash-e8e031a07efb9d6bb4c7f2d2f9511a35457266cde58b3707fb7ff10e,150008025,,,,,150009527,,,0.000000,0.000000
scriptHash-ebd06eefc7c869b8e67ba55223172d2ab582e24ac85dd35b1b5520ec,149584793,,015f52ee0b1b29813884f85313666f3876c8260858f9572622660bc3,drep-alwaysAbstain,149584793,,149584793,149584793,0.000000,0.000000
scriptHash-f8736e7cb63ee5ad6f99c566d40115208a3bf2dfe8a19ca207ee8440,149185235,,,,,,,,0.000000,0.000000
scriptHash-fac458fba546d19fe1b00387a44c3e160133348f53e6aad4d4dd2f40,148561838,,,,,150076698,,,0.000000,0.000000
keyHash-00054aa184307d07eb9c0df71af5123b6c30a5727e5e1dc545596738,149109731,,,drep-keyHash-1d4bee66b0506de8fb7b612391a2a597c1f8fc582a7a3052e0cb2e9c,149109731,,149109731,149109731,0.000000,0.000000
keyHash-000c9c48c8295c9eee3de8fbb12fd99d26cc2af03b489f25701b378f,148483141,,76bfa1b2e6593740c3388ed881cbe851dbab8d8741652c9bad16cc94,drep-keyHash-53f6a8fad05efc1111cca4dcb96ce891dbfa52459f02efdba117bdb4,148485243,,148485243,148485243,0.000000,0.000000
keyHash-0015b42540582cdf71c07432468961a7a84985f8f05013ca9e6e9175,148779406,,c726c9da5615d5f9f6858c25bb13f81c4741eccd08ce32f3414f323f,,148779406,,148779406,149459037,0.000000,0.000000
keyHash-001aa5c2a718452b8c10dd031a96ce7c5b82c3a777d635678653f689,148979949,,120ccc012f6b2ef1669acb15d2499cc9a226b6374184d1e322b1aa5f,drep-alwaysAbstain,148980263,,148980263,148980263,0.000000,0.000000
keyHash-00375d8902b11669ac7e1fe7a3ad3fd1b7af8ebf9cd0181ce9c7a382,149234464,,4744b317cba46d5f247e51d4df3d72c9e2a8b18231c30ba1708bd65b,,149234464,,149234464,149234464,0.000000,0.000000
